,Unnamed: 0,sector,name,x,y,loc
154,154,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 4,28.369202,76.879345,"[28.369202,76.879345]"
155,155,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Sarita Honda,28.364958,76.912561,"[28.364958,76.912561]"
156,156,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Sarita Honda,28.365177000000003,76.91351,"[28.365177000000003,76.91351]"
164,164,"Sector 9, Gurugram, Haryana 122001, India",Bhawani Enclave,28.4602,76.9911,"[28.4602,76.9911]"
165,165,"Sector 9, Gurugram, Haryana 122001, India",Bhawani Enclave,28.46060000000001,76.99090000000002,"[28.46060000000001,76.99090000000002]"
166,166,"Sector 9, Gurugram, Haryana 122001, India",Basai Talab,28.4627,76.99029999999998,"[28.4627,76.99029999999998]"
167,167,"Sector 9, Gurugram, Haryana 122001, India",Basai Talab,28.462714000000002,76.99010799999998,"[28.462714000000002,76.99010799999998]"
170,170,"Sector 9, Gurugram, Haryana 122001, India",Basai Chowk,28.4581,76.9904,"[28.4581,76.9904]"
171,171,"Sector 9, Gurugram, Haryana 122001, India",Basai Chowk,28.4579,76.9904,"[28.4579,76.9904]"
172,172,"Sector 9, Gurugram, Haryana 122001, India",Kadipur Chowk,28.4511815,77.004829,"[28.4511815,77.004829]"
174,174,"Sector 9, Gurugram, Haryana 122001, India",Kadipur Village / Sector-10,28.451040999999996,77.00500699999998,"[28.451040999999996,77.00500699999998]"
175,175,"Sector 9, Gurugram, Haryana 122001, India",Shiv Nagar,28.45287099999999,77.009974,"[28.45287099999999,77.009974]"
176,176,"Sector 9, Gurugram, Haryana 122001, India",Basai Chowk,28.4573886,76.9894946,"[28.4573886,76.9894946]"
184,184,"Sector 10, Gurugram, Haryana 122001, India",Kadipur Chowk / Sector-10A,28.448793,76.998133,"[28.448793,76.998133]"
185,185,"Sector 10, Gurugram, Haryana 122001, India",Kadipur Chowk / Sector-10A,28.4486652,76.99830340000001,"[28.4486652,76.99830340000001]"
188,188,"Sector 10, Gurugram, Haryana 122001, India",Saraswati Enclave,28.4463,76.99849999999998,"[28.4463,76.99849999999998]"
189,189,"Sector 10, Gurugram, Haryana 122001, India",Saraswati Enclave,28.4462,76.9983,"[28.4462,76.9983]"
197,197,"Sector 10, Gurugram, Haryana 122001, India",Sector 10A/37,28.4431,77.0005,"[28.4431,77.0005]"
200,200,"Sector 11, Gurugram, Haryana 122001, India",Secretariat Office,28.455245,77.0291,"[28.455245,77.0291]"
201,201,"Sector 11, Gurugram, Haryana 122001, India",Bhuteshwar Mandir Chowk,28.4571472,77.023241,"[28.4571472,77.023241]"
202,202,"Sector 11, Gurugram, Haryana 122001, India",Naharpur Rupa Village NH 8,28.448428000000003,77.02409999999998,"[28.448428000000003,77.02409999999998]"
203,203,"Sector 11, Gurugram, Haryana 122001, India",Rama Hospital Bus Stop,28.457283299999997,77.0234728,"[28.457283299999997,77.0234728]"
204,204,"Sector 11, Gurugram, Haryana 122001, India",Bhuteshwar Mandir Chowk,28.457335200000003,77.023326,"[28.457335200000003,77.023326]"
205,205,"Sector 11, Gurugram, Haryana 122001, India",Commissioner of Police,28.455181,77.029371,"[28.455181,77.029371]"
206,206,"Sector 11, Gurugram, Haryana 122001, India",Sohna Chowk,28.457290999999998,77.027006,"[28.457290999999998,77.027006]"
207,207,"Sector 11, Gurugram, Haryana 122001, India",Sohna Chowk,28.457290000000004,77.027108,"[28.457290000000004,77.027108]"
208,208,"Sector 11, Gurugram, Haryana 122001, India",Naharpur Rupa Village NH 8,28.44792,77.02394799999998,"[28.44792,77.02394799999998]"
209,209,"Sector 11, Gurugram, Haryana 122001, India",Secretariat,28.45171199999999,77.03104300000001,"[28.45171199999999,77.03104300000001]"
